Player,Team,Opponent,Date,Result,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TO,STL,BLK,PF,+/-,SPI
Taylor Hendricks,UTA,UTA @ GSW,04/07/2024,L,26,10,3,7,42.9,3,6,50.0,1,2,50.0,0,3,3,2,0,1,3,0,2,16.6
Lester Quinones,GSW,GSW vs. UTA,04/07/2024,W,3,0,0,3,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-11,0.0
Gui Santos,GSW,GSW vs. UTA,04/07/2024,W,8,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,1,-13,1.5
Pat Spencer,GSW,GSW vs. UTA,04/07/2024,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-11,0.0
Omer Yurtseven,UTA,UTA @ GSW,04/07/2024,L,19,8,4,7,57.1,0,0,-,0,0,-,1,6,7,0,0,0,0,0,-6,16.4
Luka Samanic,UTA,UTA @ GSW,04/07/2024,L,5,0,0,4,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,0,-4,0.0
Jerome Robinson,GSW,GSW vs. UTA,04/07/2024,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-11,0.0
Gary Payton II,GSW,GSW vs. UTA,04/07/2024,W,16,4,2,2,100,0,0,-,0,0,-,0,3,3,2,0,0,0,3,16,10.6
Draymond Green,GSW,GSW vs. UTA,04/07/2024,W,21,3,1,4,25.0,1,2,50.0,0,0,-,1,2,3,3,2,1,2,1,6,18.1
Ricky Council IV,PHI,PHI @ SAS,04/07/2024,W,22,11,4,5,80.0,0,0,-,3,3,100,1,1,2,3,4,0,0,1,14,29.9
Victor Wembanyama,SAS,SAS vs. PHI,04/07/2024,L,43,33,11,20,55.0,5,10,50.0,6,7,85.7,3,15,18,6,0,7,9,1,-1,75.6
Malaki Branham,SAS,SAS vs. PHI,04/07/2024,L,44,22,8,15,53.3,5,8,62.5,1,2,50.0,1,2,3,1,0,1,2,0,-3,28.1
Julian Champagnie,SAS,SAS vs. PHI,04/07/2024,L,40,17,5,10,50.0,3,6,50.0,4,5,80.0,1,7,8,3,2,0,0,3,-16,37.1
KJ Martin,PHI,PHI @ SAS,04/07/2024,W,23,8,4,5,80.0,0,0,-,0,0,-,0,2,2,1,1,0,0,1,4,14.9
Tre Jones,SAS,SAS vs. PHI,04/07/2024,L,49,17,8,17,47.1,0,3,0.0,1,2,50.0,3,5,8,9,2,0,5,2,-5,41.1
Terance Mann,LAC,LAC vs. CLE,04/07/2024,W,29,14,6,6,100,2,2,100,0,0,-,0,4,4,3,1,0,2,5,-10,24.3
Isaac Okoro,CLE,CLE @ LAC,04/07/2024,L,25,11,4,4,100,0,0,-,3,4,75.0,1,2,3,0,0,0,0,2,0,14.6
Jaylin Williams,OKC,OKC @ CHA,04/07/2024,W,16,6,2,6,33.3,2,4,50.0,0,0,-,1,1,2,3,0,0,0,1,-4,12.9
Grant Williams,CHA,CHA vs. OKC,04/07/2024,L,38,19,7,10,70.0,2,2,100,3,4,75.0,1,2,3,5,2,1,2,3,-22,37.1
Nick Richards,CHA,CHA vs. OKC,04/07/2024,L,18,10,4,6,66.7,0,0,-,2,2,100,2,2,4,1,1,0,1,3,11,18.3
Lindy Waters III,OKC,OKC @ CHA,04/07/2024,W,15,10,4,5,80.0,2,3,66.7,0,0,-,0,0,0,0,1,0,0,1,10,13.0
Tre Mann,CHA,CHA vs. OKC,04/07/2024,L,33,18,7,7,100,3,3,100,1,1,100,1,4,5,6,4,2,5,2,-18,46.0
Josh Giddey,OKC,OKC @ CHA,04/07/2024,W,37,20,7,15,46.7,1,1,100,5,6,83.3,2,11,13,13,1,0,5,2,14,53.1
Brandon Miller,CHA,CHA vs. OKC,04/07/2024,L,36,13,4,13,30.8,1,8,12.5,4,5,80.0,1,2,3,4,1,3,2,2,-24,32.6
Cason Wallace,OKC,OKC @ CHA,04/07/2024,W,24,10,4,6,66.7,2,4,50.0,0,0,-,3,1,4,3,2,0,0,3,-3,25.3
Brook Lopez,MIL,MIL vs. NYK,04/07/2024,L,29,13,4,8,50.0,2,6,33.3,3,4,75.0,1,4,5,1,0,3,3,2,-9,26.5
Damian Lillard,MIL,MIL vs. NYK,04/07/2024,L,39,23,4,11,36.4,1,7,14.3,14,15,93.3,0,4,4,6,1,2,4,2,-8,41.8
Khris Middleton,MIL,MIL vs. NYK,04/07/2024,L,13,5,2,4,50.0,1,1,100,0,0,-,2,2,4,2,0,0,2,0,4,10.8
Thanasis Antetokounmpo,MIL,MIL vs. NYK,04/07/2024,L,1,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-3,1.2
Malik Beasley,MIL,MIL vs. NYK,04/07/2024,L,23,9,3,6,50.0,3,6,50.0,0,0,-,0,1,1,3,0,0,0,5,-10,14.7
OG Anunoby,NYK,NYK @ MIL,04/07/2024,W,38,4,2,10,20.0,0,5,0.0,0,0,-,2,1,3,2,4,2,1,4,7,27.6
Sasha Vezenkov,SAC,SAC @ BKN,04/07/2024,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0.0
Jalen Brunson,NYK,NYK @ MIL,04/07/2024,W,39,43,16,32,50.0,2,6,33.3,9,11,81.8,1,5,6,8,0,0,1,4,11,61.2
Precious Achiuwa,NYK,NYK @ MIL,04/07/2024,W,5,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,5,0.0
TyTy Washington Jr.,MIL,MIL vs. NYK,04/07/2024,L,1,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Ryan Rollins,MIL,MIL vs. NYK,04/07/2024,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Andre Jackson Jr.,MIL,MIL vs. NYK,04/07/2024,L,4,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-5,0.0
Chris Livingston,MIL,MIL vs. NYK,04/07/2024,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Bojan Bogdanovic,NYK,NYK @ MIL,04/07/2024,W,17,15,6,9,66.7,1,1,100,2,2,100,0,1,1,1,0,0,0,1,5,17.7
Jae Crowder,MIL,MIL vs. NYK,04/07/2024,L,15,0,0,1,0.0,0,0,-,0,0,-,1,1,2,3,0,0,1,0,1,5.9
Giannis Antetokounmpo,MIL,MIL vs. NYK,04/07/2024,L,39,28,10,20,50.0,0,1,0.0,8,11,72.7,3,12,15,8,1,2,4,2,-5,63.0
Bobby Portis,MIL,MIL vs. NYK,04/07/2024,L,29,24,10,15,66.7,4,6,66.7,0,0,-,1,4,5,2,0,0,0,0,-11,33.0
Pat Connaughton,MIL,MIL vs. NYK,04/07/2024,L,31,5,1,5,20.0,1,4,25.0,2,2,100,0,1,1,2,0,0,0,3,-11,9.2
Josh Hart,NYK,NYK @ MIL,04/07/2024,W,37,7,2,9,22.2,1,2,50.0,2,2,100,2,7,9,9,0,0,0,2,8,31.3
Donte DiVincenzo,NYK,NYK @ MIL,04/07/2024,W,37,26,8,14,57.1,8,11,72.7,2,2,100,1,3,4,3,1,1,1,3,15,40.3
Mitchell Robinson,NYK,NYK @ MIL,04/07/2024,W,19,1,0,2,0.0,0,0,-,1,2,50.0,3,3,6,0,0,3,0,4,6,17.2
Miles McBride,NYK,NYK @ MIL,04/07/2024,W,18,8,3,6,50.0,2,4,50.0,0,0,-,1,1,2,1,3,0,0,1,1,20.9
AJ Green,MIL,MIL vs. NYK,04/07/2024,L,13,2,1,3,33.3,0,2,0.0,0,0,-,0,0,0,0,1,0,0,1,1,5.0
JaVale McGee,SAC,SAC @ BKN,04/07/2024,W,4,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,1,0,0,0,8,5.4
Harrison Barnes,SAC,SAC @ BKN,04/07/2024,W,11,2,1,4,25.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,1,-15,2.0
Dennis Schroder,BKN,BKN vs. SAC,04/07/2024,L,30,4,1,12,8.3,0,6,0.0,2,2,100,0,7,7,6,0,1,1,1,-5,23.4
Chet Holmgren,OKC,OKC @ CHA,04/07/2024,W,31,20,6,12,50.0,3,6,50.0,5,7,71.4,3,7,10,2,2,3,3,3,5,47.0
Aaron Wiggins,OKC,OKC @ CHA,04/07/2024,W,36,26,11,20,55.0,2,6,33.3,2,2,100,0,2,2,5,6,0,2,2,3,51.9
Sam Merrill,CLE,CLE @ LAC,04/07/2024,L,6,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,1,0,0,1,-7,4.5
Russell Westbrook,LAC,LAC vs. CLE,04/07/2024,W,25,8,3,9,33.3,0,2,0.0,2,2,100,2,5,7,6,1,1,2,2,18,29.4
Paul George,LAC,LAC vs. CLE,04/07/2024,W,44,39,10,24,41.7,3,9,33.3,16,16,100,1,10,11,7,1,1,5,3,9,63.7
Marcus Morris Sr.,CLE,CLE @ LAC,04/07/2024,L,13,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,3,0,3.2
Mason Plumlee,LAC,LAC vs. CLE,04/07/2024,W,17,6,3,4,75.0,0,0,-,0,0,-,1,4,5,2,0,0,1,4,9,14.0
Norman Powell,LAC,LAC vs. CLE,04/07/2024,W,28,14,5,13,38.5,4,9,44.4,0,0,-,1,2,3,0,1,0,0,2,19,20.6
Caris LeVert,CLE,CLE @ LAC,04/07/2024,L,37,18,7,15,46.7,3,8,37.5,1,1,100,1,4,5,2,1,1,0,3,0,33.0
Amir Coffey,LAC,LAC vs. CLE,04/07/2024,W,28,3,1,6,16.7,1,4,25.0,0,0,-,1,0,1,1,1,0,0,1,4,8.7
Max Strus,CLE,CLE @ LAC,04/07/2024,L,39,20,5,11,45.5,4,9,44.4,6,6,100,0,4,4,9,1,0,4,2,3,37.3
Darius Garland,CLE,CLE @ LAC,04/07/2024,L,40,28,10,22,45.5,4,8,50.0,4,5,80.0,2,3,5,8,5,0,5,1,0,56.0
Evan Mobley,CLE,CLE @ LAC,04/07/2024,L,31,20,8,17,47.1,0,2,0.0,4,6,66.7,1,5,6,4,0,0,1,1,0,32.2
Justin Champagnie,WAS,WAS @ TOR,04/07/2024,L,14,2,1,3,33.3,0,2,0.0,0,0,-,1,0,1,0,1,1,1,0,-8,8.2
Johnny Davis,WAS,WAS @ TOR,04/07/2024,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,2,-16,3.0
Javon Freeman-Liberty,TOR,TOR vs. WAS,04/07/2024,W,9,0,0,5,0.0,0,1,0.0,0,0,-,1,3,4,0,0,0,0,1,-12,4.8
Jules Bernard,WAS,WAS @ TOR,04/07/2024,L,4,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,0,1,-1,1.2
Malik Williams,TOR,TOR vs. WAS,04/07/2024,W,5,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,2,-1,2.4
Eugene Omoruyi,WAS,WAS @ TOR,04/07/2024,L,21,4,1,6,16.7,0,2,0.0,2,3,66.7,1,0,1,2,2,0,0,1,-14,14.2
Garrett Temple,TOR,TOR vs. WAS,04/07/2024,W,9,5,2,3,66.7,1,1,100,0,0,-,2,0,2,1,0,1,1,3,-4,10.9
Bruce Brown,TOR,TOR vs. WAS,04/07/2024,W,20,9,4,7,57.1,0,2,0.0,1,2,50.0,0,2,2,1,1,0,0,3,-7,15.9
Gary Trent Jr.,TOR,TOR vs. WAS,04/07/2024,W,35,20,9,16,56.3,2,4,50.0,0,0,-,0,7,7,5,3,0,0,0,18,44.9
Deni Avdija,WAS,WAS @ TOR,04/07/2024,L,41,32,11,19,57.9,2,6,33.3,8,12,66.7,1,9,10,5,2,3,4,3,1,62.5
Immanuel Quickley,TOR,TOR vs. WAS,04/07/2024,W,36,31,9,15,60.0,3,7,42.9,10,10,100,0,7,7,13,1,0,4,5,22,57.9
Jared Butler,WAS,WAS @ TOR,04/07/2024,L,17,7,3,4,75.0,1,1,100,0,0,-,0,3,3,2,0,1,2,3,-10,14.6
Corey Kispert,WAS,WAS @ TOR,04/07/2024,L,40,21,7,13,53.8,5,7,71.4,2,4,50.0,0,3,3,3,0,0,3,4,-7,26.1
Patrick Baldwin Jr.,WAS,WAS @ TOR,04/07/2024,L,33,16,5,10,50.0,3,7,42.9,3,4,75.0,1,10,11,1,2,2,0,5,10,42.7
Gradey Dick,TOR,TOR vs. WAS,04/07/2024,W,24,13,5,9,55.6,3,5,60.0,0,0,-,0,4,4,0,0,0,0,2,4,17.8
Tristan Vukcevic,WAS,WAS @ TOR,04/07/2024,L,23,11,4,10,40.0,1,5,20.0,2,2,100,3,6,9,4,0,3,2,4,5,34.8
Davis Bertans,CHA,CHA vs. OKC,04/07/2024,L,24,12,4,9,44.4,4,9,44.4,0,0,-,0,2,2,0,2,1,2,1,9,21.4
Vasilije Micic,CHA,CHA vs. OKC,04/07/2024,L,31,17,6,12,50.0,4,7,57.1,1,2,50.0,0,1,1,10,1,0,4,2,-3,32.2
Miles Bridges,CHA,CHA vs. OKC,04/07/2024,L,40,15,7,17,41.2,1,7,14.3,0,0,-,1,8,9,3,1,1,1,1,5,35.3
Kenrich Williams,OKC,OKC @ CHA,04/07/2024,W,26,7,3,7,42.9,1,3,33.3,0,0,-,0,1,1,2,0,0,3,5,-2,8.2
Luguentz Dort,OKC,OKC @ CHA,04/07/2024,W,34,12,4,10,40.0,3,5,60.0,1,2,50.0,1,2,3,2,1,1,3,0,-4,21.6
Aleksej Pokusevski,CHA,CHA vs. OKC,04/07/2024,L,21,14,6,9,66.7,2,4,50.0,0,0,-,1,8,9,0,0,1,1,0,27,26.8
Isaiah Joe,OKC,OKC @ CHA,04/07/2024,W,21,10,4,6,66.7,2,4,50.0,0,0,-,0,1,1,3,1,0,0,0,-4,18.7
